Identifier,Insecurity,Start_date,End_date,Number _of_deaths,State
IBD032066,"Stray Bullets, Sokoto",31/03/2025,31/03/2025,1,Sokoto
IBD032058,"Auto Crash, Lagos",31/03/2025,31/03/2025,1,Lagos
IBD032064,"Gunmen Kill Man, Benue",31/03/2025,31/03/2025,1,Benue
IBD032062,"Lightening Kills Herder, Kaduna",30/03/2025,30/03/2025,1,Kaduna
IBD032049,"Auto Crash, Katsina",30/03/2025,30/03/2025,9,Katsina
IBD032063,"Fishing Activities, Kogi",30/03/2025,30/03/2025,2,Kogi
IBD032061,"Auto Crash, Ogun",30/03/2025,30/03/2025,1,Ogun
IBD032065,"Sallah Day Celebration Clash, Plateau",30/03/2025,30/03/2025,4,Plateau
IBD032054,"Auto Crash, Abia",30/03/2025,30/03/2025,1,Abia
IBD032048,"Gas Explosion, Delta",30/03/2025,30/03/2025,2,Delta
IBD032052,"Stampede, Gombe",30/03/2025,30/03/2025,2,Gombe
IBD032050,"Auto Crash, Lagos",29/03/2025,29/03/2025,1,Lagos
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",29/03/2025,29/03/2025,1,FCT
IBD032059,"Extrajudicial Killing, Delta",29/03/2025,29/03/2025,1,Delta
IBD032060,"Labourer Kills Employer, Ondo",29/03/2025,29/03/2025,1,Ondo
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",28/03/2025,28/03/2025,1,Rivers
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",28/03/2025,28/03/2025,6,FCT
IBD032042,"Gas Explosion, Abia",27/03/2025,27/03/2025,2,Abia
IBD032051,"Gunmen Attack, Plateau",27/03/2025,27/03/2025,52,Plateau
IBD032027,"Lakurawa vs Customs Officers, Kebbi",26/03/2025,26/03/2025,2,Kebbi
IBD032033,"Taskforce Raid, FCT (Abuja)",26/03/2025,26/03/2025,2,FCT
IBD032039,"Domestic Violence, Lagos",26/03/2025,26/03/2025,1,Lagos
IBD032045,"Domestic Violence, Sokoto",26/03/2025,26/03/2025,1,Sokoto
IBD032037,"Domestic Violence, Edo",26/03/2025,26/03/2025,1,Edo
IBD032032,"Chieftaincy Tussle, Ondo",26/03/2025,26/03/2025,1,Ondo
IBD032028,"Auto Crash, Kano",26/03/2025,26/03/2025,2,Kano
IBD032041,"Pipeline Vandal, Rivers",25/03/2025,25/03/2025,1,Rivers
IBD032044,"Domestic Violence, Ekiti",25/03/2025,25/03/2025,2,Ekiti
IBD032025,"Auto Crash, Abia",25/03/2025,25/03/2025,2,Abia
IBD032030,"Rainstorm, Cross River",25/03/2025,25/03/2025,3,Cross River
IBD032034,"Gunmen vs Land Agent, Delta",25/03/2025,25/03/2025,1,Delta
IBD032019,"Troops Kill Bandit, Plateau",24/03/2025,24/03/2025,1,Plateau
IBD032020,"Troops vs Armed Robber, Plateau",24/03/2025,24/03/2025,1,Plateau
IBD032026,"Ritual Killing, Rivers",24/03/2025,24/03/2025,2,Rivers
IBD032017,"Army vs Boko Haram, Borno",24/03/2025,24/03/2025,8,Borno
IBD032012,"Gunmen vs Police, Enugu",24/03/2025,24/03/2025,1,Enugu
IBD032009,"Jailbreak, Kogi",24/03/2025,24/03/2025,1,Kogi
IBD032055,"Auto Crash, Lagos",24/03/2025,24/03/2025,1,Lagos
IBD032016,"Army vs Boko Haram, Borno",24/03/2025,24/03/2025,3,Borno
IBD032014,"Kidnapper, Anambra",24/03/2025,24/03/2025,1,Anambra
IBD032007,"Gunmen Attack, Plateau",23/03/2025,23/03/2025,3,Plateau
IBD032008,"Auto Crash, Osun",23/03/2025,23/03/2025,8,Osun
IBD031984,"Extrajudicial Killing, Cross River",23/03/2025,23/03/2025,2,Cross River
IBD032010,"Bandits Kill 2, Kogi",23/03/2025,23/03/2025,2,Kogi
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",23/03/2025,23/03/2025,1,Bauchi
IBD032018,"Hunter Killed, Ogun",23/03/2025,23/03/2025,1,Ogun
IBD031983,"Bandits Attack, Sokoto",22/03/2025,22/03/2025,1,Sokoto
IBD031995,"Herders Kill Farmer, FCT (Abuja)",22/03/2025,22/03/2025,1,FCT
IBD032021,"Generator Fume Kill 2, Rivers",22/03/2025,22/03/2025,2,Rivers
IBD031990,"Assailants vs Security Man, Bauchi",22/03/2025,22/03/2025,1,Bauchi
IBD031989,"Bandits vs Security Operatives, Zamfara",22/03/2025,22/03/2025,10,Zamfara
IBD031985,"Kidnappers Kill 1, Benue",22/03/2025,22/03/2025,1,Benue
IBD031987,"Herdsmen Attack, Edo",22/03/2025,22/03/2025,1,Edo
IBD032011,"POS Operator, Adamawa",22/03/2025,22/03/2025,1,Adamawa
IBD032035,"Kidnap Victims, Kaduna",22/03/2025,22/03/2025,3,Kaduna
IBD032040,"Man Dies in Hotel, Delta",21/03/2025,21/03/2025,1,Delta
IBD031992,"Communal Clash, Osun",21/03/2025,21/03/2025,2,Osun
IBD031996,"Hoodlums vs Worshippers, Kaduna",21/03/2025,21/03/2025,1,Kaduna
IBD032038,"Domestic Violence, Edo",21/03/2025,21/03/2025,1,Edo
IBD032031,Police vs Kidnappers. Delta,21/03/2025,21/03/2025,5,Delta
IBD031986,"Gunmen Attack, Anambra",20/03/2025,20/03/2025,3,Anambra
IBD031981,"Miyetti Allah Chairman, Plateau",20/03/2025,20/03/2025,1,Plateau
IBD032004,"Security Force vs Lakurawa, Kebbi",20/03/2025,20/03/2025,2,Kebbi
